prompt,title,essay,competence,score
15,Efeitos da globalização nos hábitos alimentares,"['A epidemia global de sobrepeso e obesidade vem se intensificando na maioria dos países como consequência principalmente da mudança de hábitos alimentares e comportamentais das últimas décadas e do aumento da disponibilidade de comida rápida, barata e altamente processada.', 'Com a intensa globalização, os hábitos de vida das pessoas sofreram grandes transformações. Aplicativos de entrega rápida, maior socialização online, trabalho em casa ou mais restrito à cadeira em frente a um computador; todas essas mudanças diminuíram a necessidade de locomoção e, consequentemente, o esforço e gasto calórico, de acordo com pesquisa da London School of Economics (LSE). É visível , ainda, a relação com alteração da qualidade do sono, pois esse vem sendo interrompido por notificações de celular, por exemplo, interferindo na produção de hormônio melatonina, responsável pelo sono reparador. Assim, a pessoa acorda cansada, e com necessidade de consumir alimentos energéticos, contribuindo para a escalada do aumento de peso que é vista em todo o mundo .', 'Além disso, a facilidade de acesso e aquisição de comida processada e altamente calórica é um fator determinante para explicar a presente epidemia de obesidade e sobrepeso. Segundo pesquisa do Centro Rudd de Políticas Alimentares e Obesidade da Universidade de Connecticut, nos Estados Unidos, um dos fortes indicadores de obesidade em uma região é a presença de pântanos alimentares, que são áreas com alta densidade de estabelecimentos com comida barata e calórica - os ""fast foods"". Alia-se à isso o aumento da renda populacional - no Brasil, o poder de compra da classe média cresceu 71% entre 2005 e 2015, segundo pesquisa do Instituto Data Popular - e a necessidade de comidas rápidas devido ao menos tempo disponível que vem da mudança de hábitos advinda da globalização, de acordo com Cláudio Mottin, diretor do Centro de Obesidade e Síndrome Metabólica do Hospital São Lucas da Pontifícia Universidade Católica do Rio Grande do Sul (PUC-RS). Todas essas mudanças expõem causas determinantes para o crescimento dos níveis de sobrepeso e obesidade mundiais.', 'Tal crescimento nos números de obesos e com sobrepeso deve ser combatido com medidas positivas da Organização Mundial de Saúde (OMS) e do Governo como um todo, impondo restrições qualitativas e quantitativas às indústrias alimentícias, promovendo reeducação alimentar nas escolas e apoio nutricional completo pelo Sistema Único de Saúde (SUS). Assim, aos poucos, a população vai reaprendendo e se readaptando às suas atuais necessidades alimentares.']","[200, 200, 200, 200, 200]",1000
35,Escola Sem Senso Crítico,"['Em meio a recente polarização política, um debate vem ganhando relevância, o da escola sem partido. O projeto, segundo seus autores, tem como objetivo libertar o sistema de ensino da doutrinação esquerdista e da ideologia de gênero.', 'No entanto, é irônico que um projeto que diz defender uma Escola Livre traga como resultado uma maior restrição ao sistema de ensino e um declínio ainda maior da relevância da escola como local de conhecimento. O projeto, apoiado pelas partes mais conservadoras da sociedade, traz como discurso a criação de uma educação neutra, o problema no entanto é que tal ideal não pode ser alcançado, tal visão imparcial nada mais é do que uma defesa do conformismo e manutenção do status-quo.', 'À partir dessa ideia vaga é criada uma linha tênue do que pode ser ensinado e o que não pode. O que ali é ideologia e o que ali são fatos? O que ali pode estar atacando os valores morais ou religiosos de determinado aluno? Nesse espaço aberto a interpretações, encontra-se um constante policiamento e controle de qualquer discurso minimamente crítico.', 'A Escola Sem Partido, portanto, não tem como objetivo livrar a educação de qualquer ideologia, mas permitir o perpetuamento de ideias defasadas e atrasadas. Usando de um discurso histérico e hiperbólico uma camada da sociedade defende seus ideias conservadores, impedindo que estes entrem em atrito ou sejam debatidos na escola, um ambiente em que o senso crítico deve ser deixado em casa.']","[200, 200, 200, 200, 200]",1000
9,O dilema do ensino superior,"['Recentemente, o Governo Federal anunciou um contingenciamento de verbas para a educação superior, o que gerou grande divergência entre os brasileiros: enquanto uns apoiaram a medida, outros foram às ruas para se manifestar contra ela. Nesse contexto, alguns defenderam a privatização das universidades ou a cobrança de mensalidades para os mais ricos a fim de solucionar a crise financeira do ensino superior. Porém, o mais justo é manter esse serviço público e gratuito a todos, embora certas ações sejam necessárias para maximizar os benefícios dessa decisão.', 'Primordialmente Primeiramente, é válido importante considerar que as universidades públicas são as mais bem avaliadas do país. Segundo uma pesquisa do grupo britânico QS (Quacquarelli Symonds), UNICAMP e USP, por exemplo, estão entre as melhores da América Latina. Ademais, um levantamento recente da CAPES (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior) mostrou que mais de 90% das pesquisas científicas do Brasil vêm das escolas superiores públicas. Sendo assim, a privatização das universidades seria prejudicial ao país, já que sua qualidade tenderia a piorar e a quantidade dessas pesquisas, a diminuir. Além disso, seria provável que tais estudos, lamentavelmente, fossem voltados somente a áreas que trazem maior retorno financeiro imediato. Desse modo, conclui-se que as instituições públicas de ensino superior devem continuar sendo do Estado.', 'Em uma segunda análise, convém lembrar que o Artigo 206 da Constituição Federal garante o ensino gratuito em estabelecimentos oficiais. Logo, ninguém deveria ser privado de ter uma educação superior gratuita e de qualidade, independentemente da de classe social. Infelizmente, isso não acontece na prática: boa parte da população, sobretudo os mais pobres, não tem acesso a esse serviço. Todavia, a cobrança de mensalidades não seria uma solução adequada para o impasse, pois não só violaria a Constituição, mas também poderia desestimular os mais ricos a ingressarem e realizarem pesquisas nessas instituições. Assim, é possível concluir que a universidade pública deve ser gratuita para todos.', 'Portanto, a privatização das universidades públicas e a cobrança da mensalidade dos mais ricos não solucionariam o problema da crise financeira no ensino superior. Contudo, o Poder Público precisa agir para resolvê-lo e proporcionar, ainda, uma maior igualdade de acesso a essas instituições. Primeiramente, verbas de setores menos relevantes (a exemplo das Forças Armadas) devem ser destinadas a áreas mais essenciais, como a educação superior. Além do mais, para esse mesmo fim, deve haver privatizações de empresas estatais (os Correios, por exemplo). Por fim, para que haja maior igualdade de oportunidades nas universidades, é necessário que as cotas sociais (àqueles que estudaram em escolas públicas) sejam ampliadas. Dessa forma, a crise financeira do ensino superior será solucionada de maneira justa e em respeito à Constituição Federal.']","[200, 200, 200, 200, 200]",1000
16,O que falta ao Brasil para prosperar?,"['O Brasil sempre é citado como um país do futuro: possui proporções continentais, clima predominantemente tropical, solos ricos em nutrientes e localização geográfica que não costuma ser afetada por fenômenos naturais devastadores. Contudo, apesar de tão favorecido pela natureza, ainda não embalou o desenvolvimento prometido pelo seu potencial. A que se poderia atribuir tal fato?', 'As eleições têm caráter obrigatório no país: é dever do cidadão exercer este direito. Porém, ainda assim, verifica-se o desinteresse da população através dos altos índices de abstenção. Um dos fatores contribuintes é o próprio cenário político: a cada ano surgem mais partidos, muitas vezes compostos por candidatos já conhecidos e que defendiam posições antagônicas, mas, em algum momento, perceberam que poderiam conciliar seus interesses. Com isso, os partidos já não têm mais uma identidade marcante e o eleitor enfrenta dificuldades para se sentir representado.', 'Entretanto, dada a história política brasileira recente, em que houve cassações e políticos poderosos foram acusados e condenados por atos de corrupção, é de se esperar que a população anseie por renovações. Educação, saúde, segurança e emprego estão sempre em pauta como problemas que requerem atenção e os grandes partidos que se alternaram no poder, nos últimos anos, não promoveram grandes evoluções, senão nos patrimônios de seus integrantes.', 'É por se encontrar neste impasse de promessa não cumprida que o Brasil chegou às polarizações apresentadas em 2018. Embora o partido mais conservador tenha sido eleito, o percentil que representa a oposição é muito expressivo. Por isso, não cabe falar na existência de uma “onda conservadora”, mas sim de uma população que necessita de soluções.', 'Assim, o que se precisa agora é que o eleitor satisfeito não se acomode: cobre pela implementação das propostas que conquistaram seu voto. E o que se decepcionou com os resultados também se mantenha participativo na busca por melhorias. O país somente poderá prosperar quando sua população se mantiver motivada e engajada em sua vida política.']","[200, 200, 200, 200, 200]",1000
27,A necessidade de estar sempre certo,"['Imagino que, em algum momento de sua vida, você já teve que defender seu ponto de vista com alguém que pensava de uma forma diferente da sua, certo!? O que é a coisa mais normal do mundo, afinal pessoas diferentes pensam de forma diferentes e todas vivem numa perfeita harmonia, ou pelo menos é assim que deveria ser...', 'Acontece que, em diversas situações, estamos tão concentrados em emitir nosso ponto de vista que a opinião do outro acaba por ser ignorada pelos nossos ouvidos e cérebro, já que, para muita gente , o importante é sair de uma discussão com seu argumento vitorioso, ao invés de considerarmos vitória a descoberta de uma nova forma de raciocinar , que somente uma discussão construtiva nos oferece.', 'Discussões nas quais ninguém sai aprendendo nada são bastantes frequentes em redes sociais. Quantas vezes, por exemplo, você já viu na internet um comentário totalmente distorcido em relação ao assunto da matéria , porque o usuário, simplesmente, apenas leu o título do “post” e já foi imediatamente recriminando a “suposta” e inexistente opinião do autor, sem, ao menos, tentar entender do que se trata determinado assunto . E a partir daí a bola de neve só faz crescer, pois outras pessoas fazem a mesma coisa gerando um mal-entendido gigantesco que talvez nunca se chegue ao esclarecimento de fato.', 'É essencial que antes de criticarmos uma ideia que, a princípio, vai de encontro aos nossos ideais, nos coloquemos no lugar do outro e tentemos entender qual o principal conhecimento que ele/ela está tentando nos transmitir. Fazer isso é educado, simples e essencial à compreensão do tema abordado.', 'Devemos parar com a ideia de que somente o que “eu” penso faz mais sentido do que outro pensa. Será que uma pessoa que muda de ideia deve ser considerada alguém sem personalidade? Creio que por mais absurda que possa parecer a ideia da pessoa com quem você esteja discutindo, se esse for um debate saudável em que ambos almejam entender o outro, o pior que pode acontecer é você sair com algum conhecimento a mais do que tinha quando entrou.', 'Atenciosamente,']","[200, 200, 200, 200, 200]",1000
21,Evitando o acidente,"['Ruas vazias, carência de produtos, filas nos postos de combustíveis, temor e incerteza. O roteiro de futuros distópicos foi encenado, recentemente, no Brasil, durante a paralisação dos caminhoneiros. A greve expôs o resultado de sucessivas políticas públicas que priorizaram o transporte rodoviário, tornando a população refém das estradas e do diesel. Afinal , a greve foi uma surpresa ou uma crise anunciada?', 'O capitalismo de compadrio, praticado não apenas no Brasil, corresponde à aliança entre o Poder Público e os interesses privados. O lobby das concessionárias automotivas atuou – e atua – fortemente em Brasília, influenciando (ou mandando) no planejamento dos governos. Em nome do “desenvolvimento”, o país escolheu o sistema rodoviário em detrimento do transporte ferroviário e hidroviário. Sob o asfalto, mesmo o esburacado, movimenta-se o Brasil.', 'Esse movimento tem um expoente: o caminhoneiro. Ele sente na pele (e no bolso) os impactos dos impostos abusivos, seja nos pedágios, seja nos postos de combustíveis. Como qualquer classe trabalhadora , a carga tributária onera a apertada renda mensal, fazendo com que a base da pirâmide social assista, do acostamento, a muitos enriquecerem com a exploração alheia. Sem dúvida, a greve surgiu como um grito de basta, transbordando toda a frustração acumulada de anos de descaso e incompetência.', 'Tal grito veio tarde, mas assustou os incautos. Assustou quem não acreditava que uma classe trabalhadora pudesse exercer seu direito à greve; assustou quem imaginava um povo omisso e resignado. Os grevistas perceberam que tem poder de parar uma nação. Ora, todos os cidadãos podem e devem parar uma nação que trafega rumo ao abismo. Resta a dúvida: qual caminho será trilhado? Quem escolherá a nova rota?', 'Certamente, apenas a população consciente poderá responder tais questões. Até então, a rota era guiada por quem sempre se manteve no poder, sucessivos políticos e empresários perpetuadores um Brasil asfaltado e atrasado. A greve dos caminhoneiros deve ser um alerta aos cidadãos de que o poder da mudança reside em suas mãos. Paralisemos o país antes que ele capote.']","[200, 200, 200, 200, 200]",1000
4,Prisão em Segunda Instância,"['A Constituição Federal de 1988, em seu artigo 5, é clara ao determinar que, salvo nas hipóteses de prisões cautelares, ninguém será preso até o trânsito em julgado da sentença penal condenatória, ou seja, até que não caibam mais recursos. Apesar da previsão legal, o Supremo Tribunal Federal (STF) fez um ""malabarismo interpretativo"" ao julgar legítima a prisão do réu em segunda instância.', 'Nesse contexto, a Corte Suprema, quando julgou o tema, se afastou de sua função precípua que é aplicar a lei, tendo em vista que a competência para elaborá-las é do Poder Legislativo. Sem dúvida, o STF, ao passo que ignorou a interpretação literal e lógica da Constituição, se comportou como um rei absolutista que cria e aplica as normas ao seu próprio alvedrio.', 'Ademais, erroneamente, argumenta-se que a prisão após segunda instância é necessária, uma vez que o julgamento completo de uma ação penal, com o esgotamento de todos os recursos, é muito demorado e, assim, o réu permanece em liberdade durante todo o processo, de modo a fortificar o sentimento de impunidade perante a sociedade. Contudo, é importante dizer que não é razoável que alguém seja antecipadamente punido por pura ineficiência do Poder Judiciário em dar celeridade às suas demandas. Ora, se há morosidade, isso deve ser solucionado de uma forma que não aniquile o princípio da presunção de inocência!', 'Portanto, tal medida validada pelo STF é um atentado contra a ordem constitucional. Por conta disso, para sanar tal controvérsia, deverá o Poder Legislativo aprovar lei que detalhe claramente a vedação à prisão em segunda instância, sob pena de violação a um caro direito fundamental.']","[200, 200, 200, 200, 200]",1000
30,A face obscura da internet,"['Uma das maiores preocupações dos pais, nos últimos anos, é encontrar maneiras para proteger seus filhos contra os perigos da internet, já que a facilidade para acessar este ambiente e disseminar informações de forma indiscriminada pode trazer consequências muito negativas à vida de crianças e adolescentes.', 'Prova disso é a quantidade crescente de jovens que sofrem ""bullying"" ou que tem sua intimidade exposta através da internet, levando muitos deles a caírem em depressão ou até mesmo a cometerem suicídio, tamanho o impacto que tais ataques têm em suas vidas. Os agressores, na maioria dos casos, também são jovens e fazem parte do círculo social da vítima, sendo que muitos não tem plena consciência do mal que estão praticando. O anonimato propiciado pela internet também facilita a ação de pedófilos que criam perfis falsos nas redes sociais para se aproximarem de crianças, incitando-as a compartilharem fotos e vídeos para satisfazer seus desejos pervertidos.', 'Neste cenário, muitos pais perguntam sobre qual a melhor maneira de defender seus filhos, já que é difícil impedi-los de acessarem a internet através de computadores e celulares, dada a ampla disponibilidade de tais aparelhos. Forçá-los a fornecer senhas de redes sociais ou instalar filtros nos navegadores não é o suficiente, pois muitos dão um jeito de burlar as regras impostas por seus pais. O melhor caminho, portanto, ainda é dialogar com os filhos sobre a importância do respeito ao próximo e da preservação da própria intimidade ao usar a internet, alertando-os sobre as ameaças ocultas no vasto universo cibernético.', 'Por fim, a sociedade não pode esperar que a tarefa de proteger crianças e jovens contra os perigos da internet seja feita apenas pelas escolas e pelo poder público. É fundamental que os pais estreitem os laços de confiança e amizade com seus filhos, pois o diálogo em família ainda é a melhor arma para diminuir o número de vítimas e agressores no mundo virtual.']","[200, 200, 200, 200, 200]",1000
19,A importância do conhecimento no combate à manipulação política,"['Após a eleição do empresário Donald Trump à presidência dos Estados Unidos da América pelo Partido Republicano, a discussão ao redor do mundo sobre as redes sociais como instrumento de manipulação política tornou-se mais frequente e mais importante. Com a proximidade das eleições presidenciais no Brasil, surge a seguinte questão: como os brasileiros podem enfrentar a manipulação política nas redes sociais e exercer o direito ao voto de modo consciente?', 'Os especialistas em educação tendem a convergir para a ideia de só ser possível não ser vítima de qualquer tipo de manipulação, em especial a de natureza política, por meio do desenvolvimento apurado de um senso crítico, o que só ocorrerá, segundo esses estudiosos, através da busca por conhecimento e da reflexão (sendo aquela uma condição essencial para esta ) constantes sobre vários temas socialmente relevantes, como educação, saúde, segurança, economia, direitos humanos, entre outros.', 'É de conhecimento geral, entretanto, que uma das mais seguras fontes de conhecimento (e, portanto, uma ótima ferramenta para auxiliar no desenvolvimento da capacidade de reflexão), a leitura, não está entre os hábitos culturais do brasileiro médio, fato possível de ser comprovado com o auxílio de pesquisas como a publicada em 2015 pela agência Nop World, segundo a qual o Brasil perde em horas de leitura por pessoa até para países vizinhos também considerados em desenvolvimento, como Argentina, Venezuela e México.', 'Mesmo assim, seria possível argumentar que há outros meios válidos além da leitura para a obtenção de conhecimento, como a audiência a programas culturais nos meios de comunicação audiovisuais de massa (televisão e internet), mas o fato é que, segundo o mesmo levantamento de 2015, apesar de o brasileiro passar muitas horas a mais em frente a esses veículos do que as que passa lendo, esses momentos são dedicados justamente a conteúdos não atrelados à cultura, invalidando, pois, essa linha de argumentação, e mantendo o eleitor médio à mercê da manipulação política por diversos meios.', 'É possível concluir, portanto, que a única maneira pela qual os brasileiros podem enfrentar a manipulação política pelas redes sociais, ou por quaisquer outros meios, e exercer o voto consciente é com a mudança radical de seus hábitos culturais no sentido de ampliar a busca pelo conhecimento para o desenvolvimento do senso crítico necessário à participação política efetiva, com essa transformação passando, necessariamente, pela ação governamental com a formulação e o aperfeiçoamento frequentes de novos projetos de incentivo à educação e à cultura de modo a, primeiro, conscientizar a população da importância do conhecimento nas mais diferentes áreas da vida e, depois, tornar cada vez mais acessíveis esses conhecimentos.']","[200, 200, 200, 200, 200]",1000
19,O combate impossível à manipulação inevitável,"['O termo anglófono ""fake news"" (em português, ""notícias falsas""), palavra do ano de 2017 segundo o dicionário em inglês da editora britânica Collins, tem se tornado cada vez mais relevante para o debate político público no Brasil, pois essas notícias, amplamente divulgadas nas redes sociais, passaram a ser mais um instrumento de manipulação política nas vindouras eleições de 2018, tornando importante a discussão sobre como os eleitores brasileiros poderão enfrentar essa manipulação.', 'Mesmo antes de qualquer debate acerca de ""fake news"", havia outras práticas em vigor na política brasileira com o fim de anular o valor do voto consciente e favorecer determinados partidos e/ou candidatos em eleições. Na história brasileira , por exemplo, não são raros os relatos sobre manipulação por meio de falsas (e, em muitos casos, irreais) promessas de campanha, compra de votos, voto de cabresto, coalizões partidárias eticamente questionáveis e ideologicamente incoerentes, entre outras práticas pouco republicanas.', 'Esses relatos, contudo, pertencem não só aos tempos da monarquia ou aos primórdios do período republicano brasileiro, mas também aos processos eleitorais mais recentes, com as coalizões duvidosas passando a serem articuladas de modo cada vez menos velado, significando , na prática, a quase inutilidade da luta contra essas atitudes politicamente danosas mesmo antes de as redes sociais sequer poderem influenciar, de qualquer modo, no resultado desses pleitos.', 'Com a interferência das redes sociais, esse quadro tende não a melhorar, mas a piorar, pois, apesar de essas ferramentas eletrônicas poderem ser ótimos instrumentos no combate a esses males políticos, torna-se cada vez mais nítido que são justamente os grupos mais interessados na manipulação do debate político público os que dominam esses espaços e disseminam as narrativas políticas mais aceitas pelo eleitor brasileiro médio, o qual, pela falta de senso crítico e de real interesse por política, inevitavelmente será refém de toda manipulação imaginável.', 'É possível concluir, portanto, que o eleitor brasileiro médio não conseguirá combater com sucesso a manipulação política nas redes sociais não só pelo histórico nacional de vulnerabilidade a manipulações dessa natureza, mas também por não estarem reunidos, na população, o senso crítico e o real interesse por política tão caros ao exercício consciente do direito ao voto.']","[200, 200, 200, 200, 200]",1000
29,A dependência também é compulsória,"['', 'O costumeiro descaso dos governos, independentemente de esferas ou de partidos, é o responsável pelo surgimento e expansão das cracolândias de São Paulo e de outras capitais do Brasil. Não só não se fez nada para combater o problema em suas origens, como se foi, posteriormente, “empurrando com a barriga”, provavelmente porque as diversas administrações paulistas e paulistanas acreditavam que aquela área decadente da cidade jamais viria a prejudicá-los na hora de pedir votos para se eleger. Houve até prefeito que tentou se capitalizar politicamente com aquela versão tupiniquim do inferno, acolhendo de braços abertos os dependentes de crack e até lhes dando uns trocados para sustentarem o pobre do vício, que viria da exclusão social e demais maldades intrínsecas ao capitalismo.', 'Desse modo, a cracolândia, que já ia de vento em popa sem a colaboração municipal, tornou-se ainda maior e se transformou numa espécie de Galeria Pajé dos psicotrópicos, reunindo consumidores e fornecedores a céu aberto, 24 horas por dia, sete dias por semana. Afinal, varrido em primeiro turno o prefeito anterior de Piratininga, complacente e solidário com a toxicodependência, uma intervenção de fato só acabou por acontecer no início da administração João Dória, com uma ação policial para reprimir os traficantes da área, ordenada pelo governador do Estado, que aparentemente não a comunicou ao novo prefeito, de seu mesmo partido, o PSDB, contumaz protagonista de vacilações e trapalhadas.', 'Não há dúvida de que a operação não surtiu o efeito desejado: a retomada pelo poder público da região privatizada por traficantes e drogados. Pior, ainda teve diversos efeitos colaterais, como espalhar os dependentes e seus fornecedores por outros locais do centro da cidade, para não falar do surgimento de movimentos e manifestações de protesto contra o governo tucano, capitaneadas por Organizações Não Governamentais (paradoxalmente sustentadas por verbas públicas), ligadas a partidos políticos ou à máfia dos autodenominados sem-teto.', 'Pois bem, as críticas ao prefeito de São Paulo – teleguiadas por todos sabem quem – obtiveram forte eco nos meios de comunicação, que procuraram declarações de especialistas e até de dependentes completamente “chapados” para reiterá-las e condenar a iniciativa, com a mesma veemência com que aplaudiam a ação deletéria da gestão anterior. No cerne dessas críticas, estava o pedido de autorização judicial para o estado e o município poderem internar compulsoriamente as pessoas que já se transformaram em verdadeiros zumbis, dados os danos causados ao cérebro pelo crack, o que lhes abortou há muito tempo o livre-arbítrio. O argumento essencial contrário à compulsoriedade é muito simples: alega-se que ele atenta contra a liberdade do cidadão, além de ser ineficiente, ao contrário das internações voluntárias – essas, sim, o caminho lúcido para o paraíso da sobriedade.', 'Ora, se o problema é o fato de a internação ser compulsória, se o que está em pauta é a compulsão propriamente dita, há um argumento irrefutável para desmascarar esses supostos campeões da liberdade e dos direitos humanos: o próprio consumo de crack por essas pessoas também é compulsório. É compulsivamente que eles se entregam ao vício e não por vontade própria, o que qualquer psiquiatra com um mínimo de honestidade deveria atestar. Além disso, uma internação compulsória é certamente menos cruel do que a compulsão pela ingestão do entorpecente, porque em vez de manter os adictos na situação degradada e desumana em que vivem, visa livrá-los da escravidão, do cativeiro em que se enfiaram até certo ponto por conta própria, mas do qual jamais se libertarão por sua própria vontade. Simples assim.', '']","[200, 200, 200, 200, 200]",1000
