prompt,title,essay,competence,score
22,O direito ao foro privilegiado e os privilégios aos poderosos no Brasil,"['No Brasil existe grande quantidade de privilégios para os altos escalões do poder político, em especial a nível federal, mas estados e municípios também não ficam atrás, quando se fala em beneficiar os poderosos com mais regalias. Uma dessas benesses que vem causando grande discussão nos últimos tempos é o chamado foro privilegiado.', 'As críticas a esse instituto são muitas, mas a maior delas tem a ver com a impunidade. Não são raros os casos em que deputados e senadores ou outras autoridades com foro especial são denunciados por crimes cometidos e os processos acabam prescrevendo nas instâncias superiores, em especial no Supremo Tribunal Federal, talvez por acúmulo de trabalho para apenas onze ministros ou até mesmo pela falta de vontade política de se punir os poderosos no país.', 'Por outro lado, existe quem defenda o argumento de que o foro por prerrogativa de função seria uma proteção para o exercício do cargo público, uma vez que na primeira instância as autoridades estariam sujeitas a um denuncismo que poderia prejudicar o andamento dos trabalhos na função que exercem. Esse argumento pode ser facilmente refutado quando se observa a experiência de países como os Estados Unidos e a Suíça, que não adotam esse instituto e as autoridades não ficam impedidas de exercer suas funções por causa de um suposto entrave judicial.', 'Atualmente o STF está discutindo a redução do alcance do foro especial, visando limitar o instituto aos crimes praticados por parlamentares durante o mandato e em razão dele. Existem também iniciativas legislativas no Congresso Nacional para extinguir esse privilégio, apesar de que, como tem-se observado nos últimos tempos, os parlamentares não costumam legislar contra seus próprios interesses e esse é um tema bastante sensível para os deputados e senadores, em sua maioria respondendo a processos por crimes, como o caso dos denunciados pela operação Lava Jato por desvios de verbas públicas e recebimento de propina.', 'Assim, o que se observa hoje no Brasil é uma cultura de benefícios explícitos a autoridades, muitos deles injustificados nos tempos atuais , como é o caso do foro privilegiado. A Constituição Federal de 1988 diz em seu artigo quinto que todos são iguais perante a lei. Se isso é verdade, o foro especial não se justifica e é uma contradição a esse princípio.']","[200, 200, 200, 200, 200]",1000
20,A canção do sabiá,"['Com apenas 20 anos de idade, o poeta romântico Gonçalves Dias compôs, no século XIX, a “Canção do exílio”, expressão do sentimento nacionalista de retorno à pátria amada. Caso o poeta vivesse no Brasil atual, dificilmente rogaria à Deus para que não morresse antes de voltar aos trópicos. Segundo pesquisa Datafolha, a maioria dos jovens brasileiros – entre 16 a 24 anos – querem deixar o país, abandonar as palmeiras e os sabiás em nome do sucesso que raramente encontram cá, mas é abundante lá. Afinal, o que motiva esses jovens?', 'O Brasil foi construído sob a miscigenação de diferentes povos. Imigrantes portugueses, espanhóis, japoneses, italianos, entre tantas outras culturas vieram em busca da prosperidade que não desfrutavam em seus países. As Grandes Guerras do século passado, a fome e as perseguições políticas forçaram muitas famílias a cruzarem o Atlântico rumo ao recomeço de vida. Sem dúvida, as crises são fatores preponderantes na decisão de abandonar a própria pátria.', 'Dessa forma, a crise brasileira desmotiva sobretudo a juventude. O sistema de ensino público, carente de investimento, não instiga o jovem a produzir e transmitir conhecimentos. Universidades sucateadas, como a UERJ, são reflexos de um Estado omisso e despreocupado em garantir a formação intelectual da população. Ademais, mesmo com um diploma, conseguir o primeiro emprego não é fácil: a especialização exigida afunila, cada vez mais, a competição no mercado de trabalho. Estudar, trabalhar e aposentar: no Brasil, sinônimos de frustrações.', 'Inclusive, no clima de desesperança, nuvens negras do fascismo e da intolerância já são vistas no horizonte. A juventude assiste ao despontar de lideranças autoritárias, cujos discursos já se ouviram na ditatura: “Brasil, ame-o ou deixe-o”. Inevitavelmente, com a democracia ameaçada, a educação abandonada e o emprego que mal paga as contas não bastam estrelas, flores ou amores suficientes para permanecer no Brasil.', 'Assim, torna-se evidente que, sem estímulos, cada vez mais jovens abandonarão a pátria rumo aos países desenvolvidos. Lá, encontrarão boas escolas, universidades e empregos, além de impostos menores (comparados aos brasileiros); enfim, encontrarão oportunidades de ascensão social. Somente quando o Brasil ofertar dignidade para a sua juventude não haverá fuga da nova geração. Caso contrário, quem ouvirá a canção do sabiá?']","[200, 200, 200, 200, 200]",1000
7,Problemáticas para utilização das criptomoedas,"['As reflexões acerca de como o uso das criptomoedas pode representar uma revolução econômica mundial atestam a relevância do assunto na atualidade. Entretanto, embora essa tecnologia de criptografia possa exprimir uma política monetária dos novos tempos e proporcionar grande autonomia para seus usuários, há uma série de problemas que podem impedir uma revolução dessa proporção. Entre esses problemas estão: a resistência dos governos diante da perda de controle econômico em seus países e os riscos que apresentam para seus investidores.', 'A criação das criptomoedas foi possibilitada pela tecnologia blockchain (cadeia em blocos), composta por uma base de dados que armazena o histórico de transações e possui uma forte criptografia nesse processo. Assim, diferentemente das moedas tradicionais, as moedas virtuais não são controladas pelo Banco Central, ou seja, o seu uso é livre de instâncias burocráticas. Dessa forma, como a maior fonte de poder para os governos são os seus bancos centrais e o monopólio de dinheiro, a possível mudança de um controle monetário centralizado para um descentralizado apresenta sofre de forte resistência dos governos, pois acabaria com tal poder. Um exemplo dessa perda de controle é que o governo ficaria impedido de emitir e valorizar a moeda e ainda de bloquear o dinheiro das pessoas, como historicamente já aconteceu em políticas econômicas de alguns países.', 'É inegável a relevante transformação econômica, política e social que o uso das criptomoedas pode proporcionar para a sociedade atual vez atual, uma vez que elas desburocratizam os processos, eliminam intermediários e permitem a descentralização da moeda. Todavia, existem riscos para os investidores nessas moedas em razão da abertura que elas oferecem para operações ilícitas. Nesse sentido, a moeda virtual é baseada em um software de código aberto que permite o anonimato das pessoas e, devido à dificuldade de rastrear os usuários, o mercado das moedas virtuais estimula a prática de crimes como a corrupção e a lavagem de dinheiro. Os bitcoins (primeira moeda virtual do mundo) utilizados pelos investidores no intuito de movimentar grandes quantias não declaradas são um exemplo dessa prática ilícita.', 'Portanto, verifica-se que vários são os fatores que impedem uma revolução econômica mundial proveniente das criptomoedas. Diante disso, para se esperar um crescimento considerável desse novo tipo de dinheiro são necessárias relevantes medidas, entre as quais estão a regulamentação específica da moeda virtual no que concerne a sua utilização e comercialização e o atendimento a critérios amplamente divergentes como a descentralização com proteção ao consumidor e a preservação do anonimato dos usuários sem ser um canal de evasões fiscais e outras ilicitudes.']","[200, 200, 200, 200, 200]",1000
3,Pré-Conceito,"['Desde a pré-história, o homem sempre se utilizou do conhecimento inovador para evoluir. O fogo, a faca, a escrita, os meios de transporte, de comunicação (rádio, tv, internet), entre outros, foram marcos tecnológicos, cada qual a na sua época, que facilitaram o processo de evolução da espécie humana. Portanto, é inegável que essas tecnologias trouxeram benefícios à humanidade e, nesse contexto linear, tendem a progredir infinitamente. Entretanto, sempre houve e ainda há pessoas que fizeram e fazem mau uso de tais instrumentos, o que alimenta o medo e a insegurança de parte da sociedade diante do novo.', 'Aqueles que são contrários ao desenvolvimento tecnológico sustentam suas crenças com base em fatos negativos que afetaram profundamente a humanidade, como, por exemplo, as consequências nefastas do regime nazista na Alemanha. Não se pode desprezar a possibilidade de um revés no uso da ciência e da tecnologia, visto que, em última instância, têm o poder de causar o extermínio da própria humanidade, assim como ocorreu, em menor proporção, com a bomba atômica em Hiroshima. Todavia, prender-se a isso seria ter uma visão pessimista do progresso, tal qual teve a personagem do episódio ""O velho do Restelo"", do livro ""Os Lusíadas"", de Camões.', 'Já os que defendem o uso da ciência e tecnologia, em uma visão mais otimista, encaram-no como meio de superação dos limites humanos. Esse olhar encontra respaldo no fato de que todos os avanços tecnológicos promovidos pela ciência, em qualquer área, sempre contribuíram para que o ser humano transpusesse suas barreiras pessoais ou do meio em que vive. Como exemplo mais antigo, tem-se a elementar descoberta do fogo, e, na sociedade atual, a utilização da Inteligência Artificial (IA). Prova disso é o uso da IA nas escolas para melhoria do processo de ensino-aprendizagem, na medicina para diagnósticos mais rápidos e eficazes, entre outras áreas, conforme recente matéria publicada no portal de notícias ""G1"".', 'Portanto, a evolução da humanidade por meio da ciência e tecnologia, atualmente denominada de revolução transumanista, ainda que utopicamente, é algo inerente a sua condição, faz parte da história da sociedade e é um ""caminho sem volta"". Apesar da possibilidade de ser empregada com finalidade diversa, ela (a revolução transumanista) não deve ser vista pelo lado negativo da teoria darwinista, em que só os mais fortes sobrevivem, mas sim pelo lado positivo, científico, que denota a evolução da espécie humana. Será que a humanidade teria sobrevivido se o homem, à época, tivesse se prendido unicamente nos malefícios do fogo?']","[200, 200, 200, 200, 200]",1000
19,A boca invisível,"['Com certeza, um dos assuntos mais comentados e discutidos esse ano foram as notícias falsas e suas possíveis implicações nas eleições presidenciais. Divulgadas em plataformas que possibilitam a interação dos indivíduos, como o facebook e o twitter , tais notícias (que não são notícias) têm grandes influências sobre pessoas que não conhecem seus verdadeiros propósitos.', 'Infelizmente, as redes sociais, o meio que pensamos ser o mais democrático para se informar, discutir e verificar os fatos e as notícias, são palco para indivíduos não preocupados com a verdade e a busca de melhorias para todos, e sim com o próprio umbigo e a garantia de seus poderes. Em se tratando de política, são pessoas e movimentos muitas vezes extremamente radicais que não toleram diferenças ou mesmo o diálogo, e criam perfis falsos para divulgar informações nem sempre verdadeiras a seu favor e atacar adversários, disseminando, assim, o ódio.', 'Esse é um cenário preocupante, visto a proximidade das eleições presidenciais e o impacto que esses perfis geram na escolha do candidato. Para se ter ideia da gravidade da situação, em 2016 Donald Trump foi eleito nos EUA com a ajuda da boca invisível, os boatos virtuais. Além disso, um dos movimentos que tiveram grande protagonismo no impeachment da presidenta Dilma Rousseff teve 87 perfis retirados do ar recentemente pelo próprio Facebook por “violar severamente as políticas de autenticidade da rede social”, segundo o jornal Folha de S. Paulo.', 'Nós, cidadãos, devemos ficar bastante atentos às informações que nos é passada , principalmente via redes sociais, inclusive o Whatsapp. É necessário verificar sempre as fontes das notícias ou apurá-las em jornais reconhecidos para saber se não estamos caindo em alguma armadilha. Além disso, para contornar o problema, jornais e profissionais da comunicação estão cada vez mais criando plataformas de checagem de informações; a Agência Lupa da revista Piauí e a Truco da Agência Pública são dois bons exemplos desse novo serviço da área.']","[200, 200, 200, 200, 200]",1000
37,Vamos falar sobre isso até que não aconteça mais,"['No mês de maio deste ano, ocorreu um crime bárbaro que chocou o brasil provocando as mais diversas manifestações de indignação: o estupro coletivo de uma adolescente de 16 anos no Rio de Janeiro foi o principal assunto de várias manchetes brasileiras.', 'Não só o corpo da vítima foi violado por 33 homens como imagens do ato foram registradas e divulgadas nas redes sociais pelos próprios criminosos. Como se não bastasse ter sofrido essa violência, ela foi culpabilizada por muitos através das redes sociais, recebeu milhares de críticas e ameaças de morte vindas de pessoas do país inteiro. É por conta desse tipo de reação que grande parte das vítimas não denuncia os estupros e outros tipos de violência que sofre.', 'Independentemente do comportamento e da aparência, seja garota de programa, seja promíscua, esteja bêbada, esteja sozinha com vários homens em um quarto, nada, absolutamente nada vai justificar uma violência. Infelizmente, quando um estupro acontece, a primeira coisa que se passa pela cabeça das pessoas é se questionar se a vítima está falando mesmo a verdade? Certamente não é o que ocorre com outros crimes, a não ser que você duvide toda vez que alguém afirma ter sido vítima de um assalto. A resposta é simples: por conta da cultura do estupro, que é muito enraizada na nossa sociedade. Basta dar uma espiada nos comerciais de cerveja, em algumas novelas e revistas. Ao disseminar termos que denigrem as mulheres, permitir a objetificação do corpos delas e glamurizar a violência sexual, a cultura do estupro passa adiante a mensagem de que a mulher não é um ser humano, e sim uma coisa.', 'O que mais revolta é que casos terríveis dessa natureza não são inéditos no Brasil e, com toda certeza, não serão os últimos. Isso porque a legislação penal vigente no país é extremamente branda a quem comete crimes, inclusive hediondos. E infelizmente, enquanto não houver punições mais rígidas contra esses monstros, os cidadãos de bem continuarão sendo violentados e sofrendo todo tipo de atrocidade.', 'Portanto, medidas precisam ser tomadas a fim de combater a cultura do estupro. É necessário punições mais severas e investir em campanhas de conscientização da sociedade. A educação é fundamental. Em casa e nas escolas, os pais e professores devem ensinar as crianças desde pequenas o respeito ao próximo, campanhas contra pequenos atos e comportamentos que legitimam a violência contra a mulher. Assim, o Brasil será referência mundial em previnir o estupro.']","[200, 200, 200, 200, 200]",1000
27,"Curitiba, 2017","['Curitiba, 2017', 'Aos senhores “donos da verdade”,', 'Peço encarecidamente que não propaguem seu ódio a ideias que divergem das suas, pois não estão realizando uma discussão, mas uma briga irracional por ideologias. Essa deselegância cria haters, grupos sectários intolerantes e ditadores que espalham agressões verbais e físicas e menosprezo aos demais.', '', 'Exemplos desse comportamento podem ser vistos diariamente, como a agressão sofrida por um homem que vestia camisa do Bolsonaro e as vaias de estudantes recebidas pelo deputado Van Hattem', 'Sendo assim, para que tenhamos um convívio social saudável e enriquecedor intelectualmente , é necessário respeitar as diferenças, e, em casos de discussão sobre determinada questão, um bom argumentador ouve o ponto de vista dos demais e contra-argumento baseado em fatos válidos e que sustente sua tese.', 'Entretanto, se não for portador de conhecimentos que possam amparar seu ponto de vista, não é hora de apelar para o desespero e o ódio, como em um campo de guerra , e ofender o interlocutor por seu físico, sexualidade, raça, entre outras questões destoantes do tema original. Nesse momento, a humildade de admitir que o outro está correto ou que lhe falta conhecimento aprofundado sobre o assunto é uma oportunidade de crescimento intelectual ou até de mudar de ponto de vista, pois, como dizia Winston Chuchill, “não há mal nenhum em mudar de opinião. Contanto que seja para melhor”.', '']","[200, 200, 200, 200, 200]",1000
2,"Ministros, não heróis","['Nos últimos anos, a Operação Lava-Jato, responsável por desmantelar grandes esquemas de corrupção, deu grande crédito ao Poder Judiciário, sobretudo por causa da atuação do ex-juiz Sérgio Moro, o qual foi visto como um herói nacional. Em oposição a isso, o Supremo Tribunal Federal sofreu diversos ataques, em virtude de suas decisões poucos populares. Tal percepção negativa, no entanto, não deve ser vista como algo necessariamente ruim, pois nem sempre a defesa dos valores constitucionais agrada à maioria.', 'Nesse sentido, é preciso dizer que a função principal da Suprema Corte é de guardar guardar a Constituição Federal de 1988. Esta Essa, por sua vez, possui um mecanismo de defesa inclusive contra a vontade do povo: as cláusulas pétreas. Estes Esses dispositivos, por guardarem valores essenciais à democracia, não podem ser alterados em nenhuma circunstância, seja por proposta de emenda ou plebiscito. Eles foram criados para resistir a ondas totalitárias e até mesmo a vontades populares eventualmente imbuídas de desejos de discriminação e de violência. Em certa medida, portanto, a Carta Magna pode ser antipopular e, da mesma maneira, será o STF, cujo papel é o de velar pela sua validade.', 'Na verdade, a insatisfação gerada ocorre, em grande parte, por um motivo: a população brasileira não conhece quase nada sobre a legislação pátria. As escolas regulares do país preocupam-se mais em ensinar ensinar, por exemplo, a diferença entre mitose e meiose nas aulas de Biologia. O que é ensinado sobre Direito Constitucional? Nada! O resultado disso é desastroso: pouquíssimas pessoas sabem qual é o papel do STF e quais são seus deveres ou limitações. Assim, quando tal órgão não atende ao cego clamor popular, surge uma reivindicação em massa que pede o seu fechamento.', 'Por fim, depreende-se que boa parte das reclamações quanto à atuação do STF surgem porque a população é ignorante. Para que isso seja mudado, é imprescindível que o Poder Legislativo crie uma lei que insira a disciplina de Direito Constitucional no Ensino Básico. Tal medida, provavelmente, poderá disseminar o caro conhecimento de que a função da Suprema Corte não está relacionada a heroísmos, mas a à defesa da Constituição Cidadã.']","[200, 200, 200, 200, 200]",1000
28,De amor e de esperança o Brasil não desce,"['Após as famosas manifestações de 2013, muitos achavam que o povo brasileiro havia se tornado politicamente consciente, abandonando seu comportamento apático, outrora conquistado , para se tornar mais participativo, sabedor de suas responsabilidades.', 'Infelizmente, a teoria supracitada não vem se confirmando. Qual(is) seria(m) o(s) motivo(s) ? Evidentemente a análise para tal questionamento não é tão simplória quanto gostaríamos.', 'Há uma imensidão de motivos para tomarmos às ruas e demonstrarmos toda nossa insatisfação com o atual cenário político e econômico (foco no político) , todavia, será que vale a pena o risco de um cidadão de bem se misturar com baderneiros de face encoberta, ser alvejado por tiro de borracha ou sofrer os efeitos colaterais de bomba de gás lacrimogêneo e como recompensa saborear uma indigesta pizza?', 'Se tornou corriqueiro testemunharmos deputado correndo com mala recheada de dinheiro e ficando livre , senador recebendo propina e se fazendo de vítima presidente tendo obscuras visitas noturnas na garagem, tudo isso ocorrendo paralelamente a diversos escândalos econômicos.', 'Após tantas desilusões se torna possível compreender um pouco melhor o comportamento da sociedade brasileira, haja esperança e braço forte! A solução, assim como a análise , é altamente complexa . Passa por uma completa faxina política, reforma de leis, fim da impunidade e acima de tudo, voto consciente. Só assim voltaremos a viver um sonho intenso, um raio vívido.']","[200, 200, 200, 200, 200]",1000
2,A democracia estende-se ao STF,"['Nos últimos anos, o Supremo Tribunal Federal ganhou destaques nos debates públicos, principalmente no afastamento da então presidente Dilma Rousseff, na aprovação e recuo da prisão em segunda instância e em algumas polêmicas decisões políticas. O STF, diferentemente do Executivo e do Legislativo, não tem como critério primário ponderar suas ações para agradar a opinião pública, mas garantir o respeito à Constituição. No entanto, a pressão do interesse social sobre a alta maior instância judiciária fortalece a democracia e a supervisão fiscalização dos ministros.', 'Em primeiro lugar, o desejo e insatisfação da população, manifestados e levados em consideração, são sinais de uma democracia consolidada, que se adapta para se manter. A revogação da prisão após julgamento em segunda instância, por exemplo, possuiu um claro equilíbrio entre o desejo do povo e o permitido pela Carta, a ponto de o presidente da Corte deixar claro clara a possibilidade de alterar-se a lei posteriormente. Tal fato demonstra revela os mecanismos do Poder Estado à nação, tornando as pessoas mais sábias quanto às regras democráticas e, logo, repudiadora repudiadoras dos seus infratores. Ressalva-se, porém, que a escolha pela norma nem sempre é de gosto popular, à semelhança da de deixar o réu recorrer em liberdade.', 'Somada a esse benefício democrático, a atenção da sociedade dada à Suprema Corte evidencia o caráter profissional dos de seus membros, enquanto prestadores de serviços à sociedade; e a necessidade de excelência nas funções - sobretudo de defender a Lei Maior -, sob pena de o congresso Congresso adquirir apoio para impedir os ministros. Ou seja, o olhar atento dos cidadãos pode constranger o STF a não repetir desvios, os quais corroboraram as críticas coletivas, como favorecer a candidatura da presidente Dilma, quando a Lei diz que não, e intervir em bancos de dados financeiros, aparentemente sem critério aceitável.', 'Dessa forma, embora caótica, a discussão sobre os atos do Supremo reflete o aperfeiçoamento da democracia. Para validar a influência do povo no judiciário, agora, é necessário que os ministros passem a falar à nação em linguagem menos técnica, explicando o porquê de não aceitar a legitimidade do querer popular. Assim, a sociedade compreenderá o STF, além de participar das decisões políticas e judiciárias com maior sabedoria']","[200, 200, 200, 200, 200]",1000
83,Esporte,"['O bordão brasileiro “esporte é saúde” é uma máxima que ajuda a resumir a importância da prática de exercícios físicos para todas as áreas, da saúde até o social. Desde a Grécia Antiga, o esporte, independente da modalidade, é aclamado pela sua capacidade de, além de garantir a saúde do corpo e da mente, desenvolver os aspectos sociais dos indivíduos. Entretanto, a rotina contemporânea, em associação com o sedentarismo e maus hábitos alimentares, diminui os efeitos do esporte na sociedade.', 'No Brasil, ainda que se valorize algumas modalidades como o futebol, o número de sedentários é quase a metade da população, o que indica que a importância do esporte precisa ser ampliada. No campo da saúde, o esporte desempenha papel fundamental: auxilia no desenvolvimento esquelético-muscular, maximiza a coordenação motora e previne doenças graves, como obesidade e pressão alta.', 'Também, o esporte funciona como elemento de transformação social ao permitir a ascensão de classes e impedir que crianças e adolescentes carentes recorram à criminalidade. Recentemente, os jogos esportivos deram mais uma prova de sua importância: a atleta Rafaela Silva, que nasceu em uma comunidade simples carioca, ganhou a medalha de ouro nos Jogos Olímpicos e mostrou ao mundo a capacidade do esporte em formar e transformar vidas.', 'Além disso, as práticas esportivas criam e reforçam o ideal de coletividade, cooperação e igualdade, de modo que todos os envolvidos sempre ganham em companheirismo e, sobretudo, humanidade.', 'Por esses motivos, a fim de garantir e proporcionar os múltiplos efeitos do esporte, é importante que os núcleos familiares incentivem, desde a primeira infância, a prática de exercícios físicos e que o governo financie projetos esportivos. Para tanto, o Estado deve criar e ampliar infraestrutura esportiva, investir em profissionais de educação física e divulgar, em parceria com a mídia, campanhas de incentivo ao esporte e combate ao sedentarismo.']","[200, 200, 200, 200, 200]",1000
76,,"['No percurso histórico da humanidade, o machismo sempre esteve enraizado na sociedade. A canção de Chico Buarque ""Mulheres de Atenas"" evidencia essa situação, expondo a submissão feminina na cidade Grega e seu papel inferior nas guerras. Concomitantemente no Brasil, esse panorama ainda é evidente, principalmente em uma sociedade patriarcal e conservadora. Contudo, a luta por igualdade de gênero cresce cada vez mais e hoje tanto lugar da mulher na sociedade quanto a luta pelos seus direitos são amplamente discutíveis.', 'Hodiernamente, há uma nítida rotulação de homens e mulheres. Desde criança quando o menino ganha um carinho e um super-herói e a garota recebe de presente uma boneca para cuidar e um kit de cozinha até nas escolhas profissionais, os estereótipos de “feminino” e “masculino” são construídos. Durante toda a vida é notável esse abismo entre os gêneros, gerando reflexos futuros como a ideia de submissão e fragilidade da mulher. Assim, por exemplo, passa a ser natural o homem descansar enquanto sua mulher cuida dos filhos e da casa, sendo difícil atingir uma igualdade entre as tarefas realizadas.', 'Somada a essa construção ideológica, no Brasil, inúmeros coletivos feministas surgiram baseados em ideais europeus anarquistas e socialistas . No entanto, sua pouca expressividade e força no cenário nacional dificultam a conquista dos direitos das mulheres. Isso decorre da dificuldade, falta de incentivo e apoio para espalhar seus ideais, principalmente em uma nação patriarcal. Essa deficiência levou o país a aumentar sua posição no ranking medido pelo Fórum Econômico Mundial (WEF), que avalia a desigualdade entre homens e mulheres no mundo todo.', 'Portanto, é indubitável que a mulher ainda não conquistou direitos iguais aos homens, mas a luta ainda é um desafio e poderia ser ainda mais intensa. Para tentar reverter o quadro de atual da desigualdade de gênero, investimentos governamentais e empresariais a grupos que lutam por causas feministas são importantes. Com isso, seus ideais poderão ser disseminados por toda a nação, contribuindo para a desconstrução das visões machistas ainda presentes. Assim, ideologias do passado retratadas na música de Chico Buarque, “Mirem-se no exemplo daquelas mulheres de Atenas... Sofrem pros seus maridos”, “Despem-se pros maridos” e “Temem por seus maridos” não imperem no mundo contemporâneo.']","[200, 200, 200, 200, 200]",1000
84,O perigo das armas,"['A posse de armas pela população civil gera debates no mundo todo. No Brasil, há um projeto que pretende alterar o Estatuto do Desarmamento para facilitar o uso de armas, mas será que com o uso delas pela sociedade, a criminalidade diminuirá ou conflitos e desastres continuarão acontecendo?', 'O massacre armado ocorrido recentemente em uma boate de Orlando, nos Estados Unidos, revela que a posse de armas não é usada somente para legítima defesa, mas também para praticar o ódio e conflitos humanos (no caso citado, a homofobia).\xa0 Este é um evento notório, mas muitos outros ocorrem pelo mundo sem termos conhecimento. Os seres humanos são imprevisíveis e podem causar desastres em momentos de precipitação.', 'Facilitar o acesso às armas de fogo para maiores de 21 anos e até para pessoas com históricos de homicídios e tráfico de drogas, conforme propõe o projeto de reforma do Estatuto do Desarmamento, é, sem dúvida, facilitar ainda mais o mundo do crime. Enquanto as janelas da revolta e da desigualdade forem maiores que as janelas das oportunidades e da inclusão, a criminalidade não diminuirá.', 'Conclui-se que a facilidade ao porte de armas à população civil apresenta pontos negativos, como o seu uso indiscriminado em situações\xa0conflituosas e a incerteza do sucesso da vítima contra o agressor.\xa0 Não há garantia de melhor qualidade de vida por meio do armamento. Portanto, o Estado deve reforçar a segurança pública como medida de primeiro momento e então, propor inclusão social aos cidadãos e baixar o índice de desigualdade no país, para que a opção de entrar para o mundo do crime não seja a escolha mais promissora das pessoas marginalizadas.']","[200, 200, 200, 200, 200]",1000
